evaluation_setting,manuscript_table,dataset,subject,primary,baseline,primary_accuracy,baseline_accuracy,difference_primary_minus_baseline,calibration_trial_ids_sha256,test_trial_ids_sha256
strict_svm,Tables II-III,wbcic_3c,sub-009,SingLEM,BIOT,0.78,0.3,0.48,,
strict_svm,Tables II-III,wbcic_3c,sub-010,SingLEM,BIOT,0.6755852842809364,0.32441471571906355,0.351170568562,,
strict_svm,Tables II-III,wbcic_3c,sub-011,SingLEM,BIOT,0.37333333333333335,0.41333333333333333,-0.04,,
strict_svm,Tables II-III,wbcic_3c,sub-001,SingLEM,LaBraM,0.71,0.38333333333333336,0.326666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-002,SingLEM,LaBraM,0.87,0.48333333333333334,0.386666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-003,SingLEM,LaBraM,0.69,0.30666666666666664,0.383333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-004,SingLEM,LaBraM,0.71,0.39,0.32,,
strict_svm,Tables II-III,wbcic_3c,sub-005,SingLEM,LaBraM,0.6533333333333333,0.36,0.293333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-006,SingLEM,LaBraM,0.5633333333333334,0.38,0.183333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-007,SingLEM,LaBraM,0.7866666666666666,0.45666666666666667,0.33,,
strict_svm,Tables II-III,wbcic_3c,sub-008,SingLEM,LaBraM,0.6833333333333333,0.49333333333333335,0.19,,
strict_svm,Tables II-III,wbcic_3c,sub-009,SingLEM,LaBraM,0.78,0.41333333333333333,0.366666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-010,SingLEM,LaBraM,0.6755852842809364,0.3779264214046823,0.297658862876,,
strict_svm,Tables II-III,wbcic_3c,sub-011,SingLEM,LaBraM,0.37333333333333335,0.3433333333333333,0.03,,
strict_svm,Tables II-III,wbcic_3c,sub-001,SingLEM,CBraMod,0.71,0.7233333333333334,-0.013333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-002,SingLEM,CBraMod,0.87,0.68,0.19,,
strict_svm,Tables II-III,wbcic_3c,sub-003,SingLEM,CBraMod,0.69,0.5166666666666667,0.173333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-004,SingLEM,CBraMod,0.71,0.6666666666666666,0.043333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-005,SingLEM,CBraMod,0.6533333333333333,0.5466666666666666,0.106666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-006,SingLEM,CBraMod,0.5633333333333334,0.5533333333333333,0.01,,
strict_svm,Tables II-III,wbcic_3c,sub-007,SingLEM,CBraMod,0.7866666666666666,0.7633333333333333,0.023333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-008,SingLEM,CBraMod,0.6833333333333333,0.5233333333333333,0.16,,
strict_svm,Tables II-III,wbcic_3c,sub-009,SingLEM,CBraMod,0.78,0.65,0.13,,
strict_svm,Tables II-III,wbcic_3c,sub-010,SingLEM,CBraMod,0.6755852842809364,0.6053511705685619,0.070234113712,,
strict_svm,Tables II-III,wbcic_3c,sub-011,SingLEM,CBraMod,0.37333333333333335,0.3933333333333333,-0.02,,
strict_svm,Tables II-III,wbcic_3c,sub-001,SingLEM,CodeBrain,0.71,0.6166666666666667,0.093333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-002,SingLEM,CodeBrain,0.87,0.6633333333333333,0.206666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-003,SingLEM,CodeBrain,0.69,0.46,0.23,,
strict_svm,Tables II-III,wbcic_3c,sub-004,SingLEM,CodeBrain,0.71,0.5233333333333333,0.186666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-005,SingLEM,CodeBrain,0.6533333333333333,0.5633333333333334,0.09,,
strict_svm,Tables II-III,wbcic_3c,sub-006,SingLEM,CodeBrain,0.5633333333333334,0.39666666666666667,0.166666666667,,
strict_svm,Tables II-III,wbcic_3c,sub-007,SingLEM,CodeBrain,0.7866666666666666,0.5633333333333334,0.223333333333,,
strict_svm,Tables II-III,wbcic_3c,sub-008,SingLEM,CodeBrain,0.6833333333333333,0.49333333333333335,0.19,,
